smoothing_window,threshold,min_duration,min_peak_probability,true_positive_events,false_positive_events,false_negative_events,total_gt_events,total_predicted_events,precision,recall,f1,balanced_accuracy,mcc,cohen_kappa,alarm_rate,suppression_rate,total_events_before_suppression,suppressed_events,retained_events
3,0.06,7,0.75,12,139,11,23,151,0.07947,0.521739,0.137931,,,,151,0.9791,7213,7062,151
3,0.06,7,0.8,12,118,11,23,130,0.092308,0.521739,0.156863,,,,130,0.982,7213,7083,130
3,0.06,7,0.85,12,100,11,23,112,0.107143,0.521739,0.177778,,,,112,0.9845,7213,7101,112
3,0.06,7,0.9,12,86,11,23,98,0.122449,0.521739,0.198347,,,,98,0.9864,7213,7115,98
3,0.06,7,0.95,12,63,11,23,75,0.16,0.521739,0.244898,,,,75,0.9896,7213,7138,75
3,0.06,7,0.99,12,63,11,23,75,0.16,0.521739,0.244898,,,,75,0.9896,7213,7138,75
3,0.06,10,0.5,14,403,9,23,417,0.033573,0.608696,0.063636,,,,417,0.9422,7213,6796,417
3,0.06,10,0.55,14,319,9,23,333,0.042042,0.608696,0.078652,,,,333,0.9538,7213,6880,333
3,0.06,10,0.6,14,259,9,23,273,0.051282,0.608696,0.094595,,,,273,0.9622,7213,6940,273
3,0.06,10,0.65,14,208,9,23,222,0.063063,0.608696,0.114286,,,,222,0.9692,7213,6991,222
3,0.06,10,0.7,12,162,11,23,174,0.068966,0.521739,0.121827,,,,174,0.9759,7213,7039,174
3,0.06,10,0.75,12,137,11,23,149,0.080537,0.521739,0.139535,,,,149,0.9793,7213,7064,149
3,0.06,10,0.8,12,116,11,23,128,0.09375,0.521739,0.15894,,,,128,0.9823,7213,7085,128
3,0.06,10,0.85,12,98,11,23,110,0.109091,0.521739,0.180451,,,,110,0.9847,7213,7103,110
3,0.06,10,0.9,12,84,11,23,96,0.125,0.521739,0.201681,,,,96,0.9867,7213,7117,96
3,0.06,10,0.95,12,61,11,23,73,0.164384,0.521739,0.25,,,,73,0.9899,7213,7140,73
3,0.06,10,0.99,12,61,11,23,73,0.164384,0.521739,0.25,,,,73,0.9899,7213,7140,73
3,0.06,15,0.5,13,365,10,23,378,0.034392,0.565217,0.064838,,,,378,0.9476,7213,6835,378
3,0.06,15,0.55,13,290,10,23,303,0.042904,0.565217,0.079755,,,,303,0.958,7213,6910,303
3,0.06,15,0.6,13,242,10,23,255,0.05098,0.565217,0.093525,,,,255,0.9646,7213,6958,255
3,0.06,15,0.65,13,194,10,23,207,0.062802,0.565217,0.113043,,,,207,0.9713,7213,7006,207
3,0.06,15,0.7,12,151,11,23,163,0.07362,0.521739,0.129032,,,,163,0.9774,7213,7050,163
3,0.06,15,0.75,12,129,11,23,141,0.085106,0.521739,0.146341,,,,141,0.9805,7213,7072,141
3,0.06,15,0.8,12,110,11,23,122,0.098361,0.521739,0.165517,,,,122,0.9831,7213,7091,122
3,0.06,15,0.85,12,96,11,23,108,0.111111,0.521739,0.183206,,,,108,0.985,7213,7105,108
