threshold,precision,recall,specificity,balanced_accuracy,f1,mcc,kappa
0.66,0.24489795918367346,0.0423467137185708,0.9991244080140331,0.520735560866302,0.07220759684091764,0.09945518989004401,0.0703817627844825
0.67,0.28135593220338984,0.036612262902514334,0.9993728868208616,0.5179925748616879,0.06479313036690086,0.09946609167178608,0.06335629752299166
0.68,0.3463203463203463,0.035288928098809,0.9995533297639155,0.5174211289313623,0.06405124099279423,0.10882337247016437,0.06289673568135168
0.6900000000000001,0.35,0.024702249669166298,0.9996923595724981,0.5121973046208322,0.046147507210548,0.09153989844681298,0.04530900932991555
0.7000000000000001,0.28888888888888886,0.011468901632112925,0.999810682813845,0.505639792222979,0.02206194314806958,0.056429177012326345,0.021564201249746784
0.7100000000000001,0.4032258064516129,0.011027790030877812,0.9998905510017542,0.505459170516316,0.021468441391155002,0.06580741204381285,0.021121273117260864
0.72,0.5348837209302325,0.010145566828407587,0.9999408383793266,0.505043202603867,0.019913419913419914,0.07299683997881122,0.01967030165620065
0.73,0.0,0.0,0.9999763353517306,0.4999881676758653,0.0,-0.0003970403115843571,-4.6850892802430266e-05
0.74,0.0,0.0,0.9999852095948316,0.4999926047974158,0.0,-0.00031388654337269995,-2.9319958369189436e-05
0.75,0.0,0.0,0.9999940838379326,0.4999970419189663,0.0,-0.00019851840579337632,-1.1743283310883257e-05
0.76,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.77,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.78,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.79,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.8,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.81,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.8400000000000001,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.85,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.86,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.87,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.88,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.89,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.9,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0.91,0.0,0.0,1.0,0.5,0.0,0.0,0.0
