feature,generalization_score,stability_score,patient_consistency_score
higuchi_fd_mean_rolling_mean_5,0.818253,0.545759,0.682006
beta_power_std_stability_5,0.7222999999999999,0.5464629999999999,0.6343814999999999
line_length_mean,0.638512,0.54796,0.593236
higuchi_fd_mean_lag3,0.825815,0.5492250000000001,0.68752
delta_power_mean_lag3,0.951312,0.5495920000000001,0.7504520000000001
wavelet_energy_3_mean_stability_5,0.803922,0.549966,0.676944
wavelet_energy_3_std_lag3,0.623562,0.5539339999999999,0.5887479999999999
higuchi_fd_std_lag1,0.798131,0.556299,0.677215
line_length_mean_lag1,0.638528,0.559376,0.5989519999999999
theta_power_std_stability_5,0.823087,0.5627219999999999,0.6929045
delta_power_std_lag3,0.966474,0.5642860000000001,0.7653800000000001
spectral_entropy_std,0.789407,0.566786,0.6780965
delta_power_max_lag3,0.966771,0.569264,0.7680175
spectral_entropy_std_lag1,0.789461,0.569773,0.6796169999999999
line_length_mean_rolling_mean_5,0.634234,0.573314,0.603774
wavelet_energy_1_std_stability_5,0.842883,0.575305,0.709094
line_length_mean_lag3,0.638598,0.581623,0.6101105
higuchi_fd_std_rolling_mean_5,0.794537,0.581997,0.688267
delta_relative_max_rolling_mean_5,0.72497,0.5826180000000001,0.653794
variance_mean_stability_5,0.954196,0.5833889999999999,0.7687925
spectral_entropy_std_rolling_mean_5,0.766433,0.591317,0.678875
alpha_relative_max,0.902707,0.591526,0.7471165
wavelet_energy_3_max_stability_5,0.7320960000000001,0.592417,0.6622565
alpha_relative_max_lag3,0.902737,0.595389,0.749063
alpha_relative_max_lag1,0.902675,0.595801,0.7492380000000001
mean_std_rolling_mean_5,0.938124,0.5976870000000001,0.7679055
spectral_entropy_std_lag3,0.7895639999999999,0.605135,0.6973495
beta_relative_max_rolling_mean_5,0.622968,0.607441,0.6152044999999999
delta_relative_std,0.672112,0.607935,0.6400235000000001
delta_relative_std_lag1,0.6721539999999999,0.6102179999999999,0.6411859999999999
wavelet_energy_0_std_stability_5,0.942482,0.615884,0.779183
wavelet_energy_0_max_stability_5,0.948754,0.621259,0.7850064999999999
higuchi_fd_std_lag3,0.798182,0.623041,0.7106115
line_length_max_rolling_mean_5,0.585134,0.6292690000000001,0.6072015000000001
line_length_max_lag3,0.596434,0.629853,0.6131435000000001
delta_relative_std_lag3,0.672148,0.630594,0.6513709999999999
variance_max_stability_5,0.955749,0.631454,0.7936015
line_length_max_lag1,0.596373,0.631963,0.614168
wavelet_energy_4_mean,0.7330479999999999,0.633962,0.683505
line_length_max,0.596313,0.635122,0.6157174999999999
theta_relative_mean_rolling_mean_5,0.49888699999999997,0.63513,0.5670085
delta_relative_max_lag3,0.774204,0.6389400000000001,0.706572
alpha_relative_std,0.851038,0.639022,0.74503
wavelet_energy_3_std_stability_5,0.7455069999999999,0.641051,0.693279
theta_relative_mean_lag3,0.56307,0.642833,0.6029515
wavelet_energy_4_mean_lag1,0.733058,0.6429670000000001,0.6880125
remaining_time_fraction,0.99914,0.644771,0.8219555000000001
normalized_window_index,0.999138,0.644771,0.8219544999999999
relative_position_in_edf,0.999138,0.644771,0.8219544999999999
elapsed_time_fraction,0.99914,0.644771,0.8219555000000001
gamma_power_mean,0.694422,0.646074,0.670248
alpha_relative_std_lag1,0.851021,0.646575,0.7487980000000001
gamma_power_mean_lag1,0.694484,0.6473610000000001,0.6709225000000001
delta_relative_max_lag1,0.774184,0.648072,0.711128
delta_relative_mean_rolling_mean_5,0.840986,0.649652,0.7453190000000001
delta_relative_max,0.7741480000000001,0.650648,0.7123980000000001
gamma_power_mean_lag3,0.694561,0.6518079999999999,0.6731845
alpha_relative_std_rolling_mean_5,0.79162,0.6526540000000001,0.722137
mad_mean_stability_5,0.970115,0.654458,0.8122864999999999
delta_power_mean_stability_5,0.951882,0.6547350000000001,0.8033085
wavelet_energy_4_mean_lag3,0.7331829999999999,0.6550860000000001,0.6941345
gamma_power_mean_rolling_mean_5,0.682758,0.655618,0.669188
wavelet_energy_4_mean_rolling_mean_5,0.73307,0.6563220000000001,0.694696
sample_entropy_std,0.778514,0.6568080000000001,0.7176610000000001
wavelet_energy_4_max_rolling_mean_5,0.7084250000000001,0.6569130000000001,0.6826690000000001
variance_std_stability_5,0.946127,0.662011,0.804069
theta_relative_mean_lag1,0.563192,0.663089,0.6131405000000001
petrosian_fd_mean,0.878412,0.663178,0.770795
wavelet_energy_4_max,0.706078,0.6636420000000001,0.68486
sample_entropy_std_lag1,0.7785569999999999,0.664361,0.721459
delta_power_max_stability_5,0.9278649999999999,0.6664570000000001,0.797161
iqr_mean_stability_5,0.967221,0.6668160000000001,0.8170185000000001
alpha_relative_std_lag3,0.851106,0.667243,0.7591745000000001
theta_relative_mean,0.563197,0.67023,0.6167134999999999
wavelet_energy_4_max_lag1,0.7061200000000001,0.670492,0.6883060000000001
wavelet_energy_4_max_lag3,0.706296,0.672011,0.6891535
min_max_stability_5,0.908086,0.672708,0.790397
gamma_power_max_rolling_mean_5,0.666397,0.672723,0.6695599999999999
gamma_power_max_lag3,0.6738040000000001,0.672887,0.6733455
gamma_relative_mean_stability_5,0.769466,0.674265,0.7218655
wavelet_energy_4_std,0.7060299999999999,0.677049,0.6915395
petrosian_fd_mean_lag1,0.8784,0.678284,0.778342
wavelet_energy_5_mean_rolling_mean_5,0.62184,0.681264,0.6515519999999999
mean_std_lag1,0.961025,0.682918,0.8219715000000001
gamma_power_std_lag3,0.6717409999999999,0.6830149999999999,0.6773779999999999
wavelet_energy_4_std_lag1,0.7060660000000001,0.684894,0.6954800000000001
gamma_power_max_lag1,0.673716,0.6854180000000001,0.679567
wavelet_energy_4_std_rolling_mean_5,0.7101379999999999,0.686421,0.6982794999999999
beta_relative_max_lag3,0.6355500000000001,0.687948,0.661749
gamma_power_max,0.673673,0.688165,0.680919
perm_entropy_mean_rolling_mean_5,0.859448,0.68851,0.773979
wavelet_energy_5_mean_lag1,0.633649,0.689692,0.6616705
perm_entropy_mean,0.860007,0.6897,0.7748535
wavelet_energy_5_mean_lag3,0.633745,0.6905680000000001,0.6621565
gamma_power_std_rolling_mean_5,0.665303,0.692979,0.679141
wavelet_energy_4_std_lag3,0.706248,0.6947300000000001,0.700489
mean_std,0.9610650000000001,0.6957409999999999,0.828403
zero_crossings_std_lag1,0.695336,0.698226,0.696781
wavelet_energy_5_mean,0.6336010000000001,0.698241,0.665921
beta_relative_max_lag1,0.635529,0.698368,0.6669484999999999
mean_std_lag3,0.960913,0.698488,0.8297005
beta_relative_mean_rolling_mean_5,0.652765,0.699469,0.6761170000000001
zero_crossings_std,0.695306,0.699513,0.6974095
gamma_power_std_lag1,0.671673,0.699873,0.685773
wavelet_energy_5_max_lag3,0.592524,0.7015199999999999,0.647022
gamma_power_std,0.671629,0.7017439999999999,0.6866865
wavelet_energy_5_max_rolling_mean_5,0.578696,0.701812,0.640254
delta_power_std_stability_5,0.925226,0.702508,0.813867
beta_relative_max,0.635552,0.702642,0.669097
wavelet_energy_5_std_lag3,0.600034,0.7030989999999999,0.6515664999999999
sample_entropy_std_rolling_mean_5,0.778825,0.704222,0.7415235
petrosian_fd_mean_rolling_mean_5,0.882725,0.7043189999999999,0.793522
perm_entropy_mean_lag1,0.860007,0.704806,0.7824065
mean_max_rolling_mean_5,0.932605,0.706415,0.81951
zero_crossings_std_rolling_mean_5,0.6868179999999999,0.706483,0.6966505
wavelet_energy_5_std_rolling_mean_5,0.588148,0.70667,0.647409
delta_relative_mean_lag3,0.873699,0.711827,0.792763
wavelet_energy_5_max_lag1,0.5924769999999999,0.7122310000000001,0.652354
spectral_entropy_mean_stability_5,0.991169,0.713901,0.852535
higuchi_fd_max,0.7036009999999999,0.715345,0.709473
delta_relative_mean,0.8736619999999999,0.716685,0.7951735
wavelet_energy_5_max,0.5924130000000001,0.7175009999999999,0.654957
wavelet_energy_5_std_lag1,0.599974,0.717793,0.6588835
zero_crossings_mean_stability_5,0.905445,0.718003,0.811724
higuchi_fd_max_lag1,0.703624,0.720615,0.7121195
gamma_relative_mean_rolling_mean_5,0.677524,0.7214160000000001,0.69947
delta_relative_mean_lag1,0.87371,0.724702,0.799206
petrosian_fd_mean_lag3,0.878431,0.72489,0.8016605
beta_relative_mean,0.669303,0.725406,0.6973545
wavelet_energy_5_std,0.5999209999999999,0.726342,0.6631315
zero_crossings_std_lag3,0.6953860000000001,0.727734,0.71156
beta_relative_mean_lag3,0.6693089999999999,0.730676,0.6999925
perm_entropy_std_rolling_mean_5,0.651539,0.730826,0.6911825
beta_relative_mean_lag1,0.669311,0.732255,0.7007829999999999
gamma_relative_std_stability_5,0.752711,0.733401,0.7430559999999999
line_length_std,0.6819729999999999,0.735736,0.7088544999999999
line_length_std_lag3,0.682063,0.736298,0.7091805
line_length_std_rolling_mean_5,0.6656329999999999,0.73647,0.7010514999999999
sample_entropy_std_lag3,0.778616,0.737503,0.7580595
perm_entropy_mean_lag3,0.860027,0.7380340000000001,0.7990305
perm_entropy_std_lag3,0.663713,0.7402500000000001,0.7019815
gamma_relative_mean_lag1,0.682336,0.741672,0.7120040000000001
petrosian_fd_std_stability_5,0.968276,0.742346,0.8553109999999999
gamma_relative_mean_lag3,0.682365,0.74284,0.7126025
higuchi_fd_max_rolling_mean_5,0.684409,0.7433719999999999,0.7138905
spectral_entropy_max_stability_5,0.859343,0.746875,0.803109
gamma_relative_mean,0.682334,0.748814,0.7155739999999999
higuchi_fd_max_lag3,0.7036720000000001,0.749517,0.7265945
perm_entropy_std_lag1,0.663667,0.749674,0.7066705
line_length_std_lag1,0.682021,0.750992,0.7165064999999999
gamma_relative_std_lag1,0.683779,0.75326,0.7185195
perm_entropy_std,0.663707,0.7558199999999999,0.7097635
sample_entropy_max,0.7306349999999999,0.756404,0.7435194999999999
gamma_power_max_stability_5,0.699703,0.758739,0.729221
gamma_relative_std_lag3,0.683837,0.760109,0.721973
gamma_relative_std_rolling_mean_5,0.679698,0.760985,0.7203415
higuchi_fd_std_stability_5,0.935267,0.762961,0.8491139999999999
wavelet_energy_4_mean_stability_5,0.752412,0.763014,0.757713
zero_crossings_std_stability_5,0.87859,0.763358,0.820974
higuchi_fd_mean_stability_5,0.924481,0.7636499999999999,0.8440654999999999
gamma_power_mean_stability_5,0.755148,0.765072,0.7601100000000001
sample_entropy_max_lag1,0.730665,0.766532,0.7485985
gamma_relative_std,0.683753,0.766667,0.72521
spectral_entropy_std_stability_5,0.974123,0.766756,0.8704395
wavelet_energy_4_std_stability_5,0.709657,0.768388,0.7390224999999999
line_length_mean_stability_5,0.848557,0.768456,0.8085065
mean_max_lag1,0.957065,0.770791,0.863928
mean_max_lag3,0.95704,0.7729550000000001,0.8649975000000001
gamma_power_std_stability_5,0.7066790000000001,0.777416,0.7420475
theta_relative_max_lag3,0.62388,0.780126,0.7020029999999999
wavelet_energy_4_max_stability_5,0.6981390000000001,0.782618,0.7403785
mean_max,0.95708,0.78461,0.8708450000000001
theta_relative_max_lag1,0.623955,0.784984,0.7044695000000001
theta_relative_max,0.623958,0.785568,0.704763
iqr_max_stability_5,0.957604,0.791841,0.8747225000000001
beta_relative_std_stability_5,0.847214,0.792881,0.8200475
perm_entropy_std_stability_5,0.921708,0.799424,0.8605659999999999
sample_entropy_max_rolling_mean_5,0.7175309999999999,0.799454,0.7584925
theta_relative_max_rolling_mean_5,0.53102,0.800726,0.665873
mad_max_stability_5,0.959736,0.8009729999999999,0.8803544999999999
sample_entropy_max_lag3,0.7306889999999999,0.803009,0.7668489999999999
