feature,mean_rank,rank_std,mean_importance,importance_std,top_20_frequency
perm_entropy_max__rel,139.0,63.74637244581059,0.0033270884,0.0021037334,0.0
theta_relative_std,139.4,59.40909021353551,0.0031144496,0.0018732867,0.0
beta_relative_std_rolling_mean_5,139.6,21.26593520163174,0.00295892,0.00041014337,0.0
wavelet_energy_2_mean_lag1__rel,140.2,43.869807385034186,0.0030149047,0.0010646636,0.0
wavelet_energy_4_max__rel,141.2,46.14498889370329,0.0029135563,0.0012281075,0.0
mean_max_lag3__rel,141.2,38.01262948021355,0.0028345766,0.0010037381,0.0
wavelet_energy_4_std_lag1__rel,141.4,57.294327816983774,0.003196073,0.0017492331,0.0
delta_relative_max_rolling_mean_5,142.2,42.9250509609482,0.0029679965,0.001141864,0.0
spectral_entropy_mean,144.0,24.94794580722028,0.0028864301,0.0004831249,0.0
theta_relative_mean_lag3,144.2,57.617358495508974,0.0028025955,0.0017305267,0.0
petrosian_fd_max__rel,145.0,34.77355316903925,0.0028396037,0.0008752109,0.0
perm_entropy_std_lag3,145.2,12.496399481450647,0.0028338353,0.0003963502,0.0
spectral_entropy_std_lag1,145.2,35.818431009746924,0.0028124964,0.00082483806,0.0
alpha_power_mean_lag3__rel,145.8,42.51776099467139,0.0028043757,0.0011282581,0.0
theta_relative_max,147.4,28.7095802825468,0.0028013461,0.00075095915,0.0
variance_max_lag1__rel,149.0,32.0,0.0027309586,0.00082139636,0.0
sample_entropy_max_lag3,149.6,29.2205407205274,0.0027447543,0.0005995543,0.0
beta_relative_mean_rolling_mean_5__rel,150.4,54.27190801878997,0.002945559,0.0017686425,0.0
wavelet_energy_3_max_lag3__rel,150.6,33.921084888310986,0.002381385,0.0011977679,0.0
wavelet_energy_4_max_lag3__rel,151.4,41.35021160768104,0.002570366,0.0009965682,0.0
gamma_relative_std__rel,152.6,71.7428742106141,0.0029272914,0.002531494,0.0
sample_entropy_max_lag1__rel,152.8,26.187019685332654,0.0025729446,0.00064726145,0.0
beta_relative_std_lag3,153.8,26.820887382784335,0.0026268358,0.00068630563,0.0
mean_max_lag1__rel,154.4,33.13366867704209,0.002551391,0.00084917835,0.0
wavelet_energy_5_std__rel,155.2,16.557777628655362,0.002583511,0.00045557026,0.0
