threshold,precision,recall,specificity,f1,balanced_accuracy,mcc,kappa
0.52,0.04869467672853355,0.42126157917953244,0.9448110821547846,0.08729832259244023,0.6830363306671585,0.1277819395506423,0.07626694269957979
0.53,0.051735428945645055,0.4181737979708866,0.9486003839589182,0.09207906366859309,0.6833870909649025,0.13218476592527462,0.08118576278896361
0.54,0.0547945205479452,0.41288045875606527,0.9522388236303345,0.09674918600444467,0.6825596411931999,0.1360260993165408,0.08599900441204444
0.55,0.05765245242730641,0.40494044993383327,0.9556139940897541,0.10093457943925233,0.6802772220117936,0.1388794665786736,0.09032576065421039
0.56,0.06147098515519568,0.4018526687251875,0.9588560509026585,0.10663077193187805,0.680354359813923,0.14377226039472296,0.09618718179793462
0.5700000000000001,0.06496234067207415,0.3956771063078959,0.9618082157742629,0.11160186625194399,0.6787426610410794,0.14738772608845457,0.1013175602289047
0.5800000000000001,0.06885783433523304,0.3890604322893692,0.964718967511396,0.11700716370390024,0.6768896999003826,0.1512098410901232,0.10689790892983153
0.59,0.07310089270675425,0.38288486987207765,0.9674433601434078,0.12276359521957429,0.6751641150077428,0.15529687123995262,0.11283910399844721
0.6,0.07793983591613492,0.37715041905602115,0.9700790103444094,0.129183349701594,0.6736147147002153,0.15991988482639116,0.11946137676683011
0.61,0.08315206644255488,0.3709748566387296,0.972569714574761,0.13585332364106292,0.6717722856067453,0.16456869734454035,0.12634517319072402
0.62,0.08897985565011311,0.3643581826202029,0.9749835086982372,0.14303030303030304,0.6696708456592201,0.1694622150766827,0.13375482861729338
0.63,0.09467386203660254,0.35597706219673575,0.9771724886631544,0.14956908534890184,0.6665747754299451,0.17342034559558703,0.14052417318640686
0.64,0.1019859064702114,0.3511248345831495,0.979266810034994,0.1580619539316918,0.6651958223090718,0.1795374678917018,0.1492791496261887
0.65,0.11012282930961458,0.34406704896338774,0.9813552152447664,0.16684491978609628,0.6627111321040771,0.18543006633115258,0.15835065569980422
0.66,0.1193004372267333,0.33700926334362596,0.9833164229700908,0.1762195825164341,0.6601628431568584,0.19176335285927867,0.16803348482779323
0.67,0.12950138504155126,0.32995147772386413,0.985126768562698,0.18600024866343406,0.657539123143281,0.1984249753006424,0.17813708274024986
0.68,0.14324960753532182,0.3220114689016321,0.9870850182069888,0.19828874100230887,0.6545482435543104,0.20702840835695177,0.19082761090425393
0.6900000000000001,0.15845070422535212,0.317600352889281,0.9886882981272389,0.21142269857583323,0.65314432550826,0.21707262494286927,0.2043507673356687
0.7000000000000001,0.17293048391058707,0.3105425672695192,0.9900401411596269,0.2221520984537709,0.6502913542145731,0.22490602243784563,0.2154383528606837
0.7100000000000001,0.19213608477412158,0.3039258932509925,0.9914304392454527,0.23543481975055527,0.6476781662482226,0.23529668389722133,0.22914273345224168
0.72,0.2156360140980455,0.2968681076312307,0.9927586176295713,0.24981440237564959,0.644813362630401,0.24715349786326155,0.24398010793532865
0.73,0.24647364513734224,0.29289810322011467,0.9939950955016462,0.2676879661358597,0.6434465993608804,0.26334293360967803,0.2623513389841443
0.74,0.2813852813852814,0.2867225408028231,0.9950895854841048,0.28402883985143107,0.640906063143464,0.2791946353547746,0.27918214652100304
0.75,0.31977630910015253,0.2774591971768858,0.9960420875769471,0.29711856400566844,0.6367506423769165,0.29348799043283946,0.29274111741959785
0.76,0.36626506024096384,0.2681958535509484,0.9968880987525772,0.309651133180545,0.6325419761517628,0.3095035273488593,0.3057413069863938
0.77,0.4139167862266858,0.2545213939126599,0.9975832477954901,0.31521442228899205,0.626052320854075,0.3210814206192092,0.31172289608126436
0.78,0.495985727029438,0.24525805028672254,0.9983286842159754,0.3282172373081464,0.6217933672513489,0.3458133152186145,0.32524284225692346
0.79,0.5595628415300546,0.2258491398323776,0.9988078933434302,0.3218101822752985,0.6123285165879039,0.352913703183635,0.3192020591434097
0.8,0.6186770428015564,0.21041023378914867,0.9991303241761005,0.31402238314680714,0.6047702789826246,0.35851542656937674,0.31169516891007143
0.81,0.6854961832061068,0.1980591089545655,0.9993906353070636,0.30732375085557834,0.5987248721308146,0.36646178769295057,0.3052489364848455
0.8200000000000001,0.701048951048951,0.1768857520952801,0.9994941681432421,0.28249383585769633,0.5881899601192611,0.35026024177648235,0.2805627013485791
0.8300000000000001,0.8220720720720721,0.16100573445081606,0.99976631159834,0.2692733308742161,0.580386023024578,0.36230720907460356,0.26767544415137967
0.8400000000000001,0.8417085427135679,0.14777238641376267,0.9998136408948787,0.25140712945590993,0.5737930136543207,0.35126286667980755,0.24991472878672194
